Country; Number; Position; FIFA Display Name; Last Name; First Name; Shirt Name; Date of Birth; Club; Club Country; Height
Algeria;1; Goalkeeper; Lounes GAOUAOUI; GAOUAOUI; Lounes; GAOUAOUI;28-sep.-77; Chlef; ALG;188
Algeria;2; Defender; Madjid BOUGHERRA; BOUGHERRA; Madjid; BOUGHERRA;07-oct.-82; Rangers; SCO;190
Algeria;3; Defender; Nadir BELHADJ; BELHADJ; Nadir; BELHADJ;18-jun.-82; Portsmouth; ENG;180
Algeria;4; Defender; Anther YAHIA; YAHIA; Anther; YAHIA;21-mar.-82; Bochum; GER;185
Algeria;5; Defender; Rafik HALLICHE; HALLICHE; Rafik; HALLICHE;02-sep.-86; Nacional Madeira; POR;187
Algeria;6; Midfielder; Yazid MANSOURI; MANSOURI; Yazid; MANSOURI;25-feb.-78; Lorient; FRA;175
Algeria;7; Midfielder; Ryad BOUDEBOUZ; BOUDEBOUZ; Ryad; BOUDEBOUZ;19-feb.-90; Sochaux; FRA;178
Algeria;8; Midfielder; Medhi LACEN; LACEN; Medhi Gregory Guiseppe; LACEN;15-mar.-84; Racing Santander; ESP;178
Algeria;9; Forward; Abdelkader GHEZZAL; GHEZZAL; Abdelkader Mohamed; GHEZZAL;05-dic.-84; Siena; ITA;186
Algeria;10; Forward; Rafik SAIFI; SAIFI; Rafik; SAIFI;07-feb.-75; Istres; FRA;178
Algeria;11; Forward; Rafik DJEBBOUR; DJEBBOUR; Rafik Zoheir; DJEBBOUR;08-mar.-84; AEK Athens; GRE;185
Algeria;12; Defender; Habib BELLAID; BELLAID; Habib Mohamed; BELLAID;28-mar.-86; Boulogne; FRA;189
Algeria;13; Midfielder; Karim MATMOUR; MATMOUR; Karim; MATMOUR;25-jun.-85; Borussia Moenchengladbach; GER;181
Algeria;14; Defender; Abdelkader LAIFAOUI; LAIFAOUI; Abdelkader; LAIFAOUI;29-jul.-81; Setif; ALG;177
Algeria;15; Midfielder; Karim ZIANI; ZIANI; Karim Koceila Yanis; ZIANI;17-ago.-82; Wolfsburg; GER;168
Algeria;16; Goalkeeper; Faouzi CHAOUCHI; CHAOUCHI; Faouzi; CHAOUCHI;05-dic.-84; Setif; ALG;180
Algeria;17; Midfielder; Adlane GUEDIOURA; GUEDIOURA; Adlane; GUEDIOURA;12-nov.-85; Wolverhampton; ENG;183
Algeria;18; Defender; Carl MEDJANI; MEDJANI; Carl; MEDJANI;15-may.-85; Ajaccio; FRA;184
Algeria;19; Midfielder; Hassan YEBDA; YEBDA; Hassan; YEBDA;14-may.-84; Portsmouth; ENG;188
Algeria;20; Defender; Djamel MESBAH; MESBAH; Djamel; Eddine; MESBAH 09 Oct 1984; Lecce; ITA;180
Algeria;21; Midfielder; Foued KADIR; KADIR; Foued; KADIR;05-dic.-83; Valenciennes; FRA;180
Algeria;22; Midfielder; Djamal ABDOUN; ABDOUN; Djamal; ABDOUN;14-feb.-86; Nantes; FRA;180
Algeria;23; Goalkeeper; Rais M BOLHI; M'BOLHI; Adi Rais Cobos Adrien; MBOLHI;25-abr.-86; Slavia Sofia; BUL;190
Argentina;1; Goalkeeper; Diego POZO; POZO; Diego; POZO;16-feb.-78; Atletico Colon; ARG;183
Argentina;2; Defender; Martin DEMICHELIS; DEMICHELIS; Martin Gaston; DEMICHELIS;20-dic.-80; Bayern Munich; GER;184
Argentina;3; Defender; Clemente RODRIGUEZ; RODRIGUEZ; Clemente Juan; RODRIGUEZ C.;31-jul.-81; Estudiantes La Plata; ARG;166
Argentina;4; Defender; Nicolas BURDISSO; BURDISSO; Nicolas Andres; BURDISSO;12-abr.-81; AS Roma; ITA;174
Argentina;5; Midfielder; Mario BOLATTI; BOLATTI; Mario Ariel; BOLATTI;17-feb.-85; Fiorentina; ITA;189
Argentina;6; Defender; Gabriel HEINZE; HEINZE; Gabriel Ivan; HEINZE;19-abr.-78; Marseille; FRA;178
Argentina;7; Midfielder; Angel DI MARIA; DI MARIA; Angel Fabian; DI MARIA;14-feb.-88; Benfica; POR;180
Argentina;8; Midfielder; Juan VERON; VERON; Juan Sebastian; VERON;09-mar.-75; Estudiantes La Plata; ARG;183
Argentina;9; Forward; Gonzalo HIGUAIN; HIGUAIN; Gonzalo Gerardo; HIGUAIN;10-dic.-87; Real Madrid; ESP;182
Argentina;10; Forward; Lionel MESSI; MESSI CUCCITTINI; Lionel Andres; MESSI;24-jun.-87; Barcelona; ESP;170
Argentina;11; Forward; Carlos TEVEZ; TEVEZ; Carlos Alberto; CARLITOS;05-feb.-84; Manchester City; ENG;173
Argentina;12; Defender; Ariel GARCE; GARCE; Ariel Hernan; GARCE;14-jul.-79; Atletico Colon; ARG;175
Argentina;13; Defender; Walter SAMUEL; SAMUEL; Walter Adrian; SAMUEL;23-mar.-78; Inter; ITA;182
Argentina;14; Midfielder; Javier MASCHERANO; MASCHERANO; Javier Alejandro; MASCHERANO;08-jun.-84; Liverpool; ENG;171
Argentina;15; Defender; Nicolas OTAMENDI; OTAMENDI; Nicolas Hernan; OTAMENDI;12-feb.-88; Velez Sarsfield; ARG;171
Argentina;16; Forward; Sergio AGUERO; AGÜERO; Sergio Leonel; KUN AGUERO;02-jun.-88; Atletico Madrid; ESP;170
Argentina;17; Midfielder; Jonas GUTIERREZ; GUTIERREZ; Jonas Manuel; JONAS;05-jul.-83; Newcastle Utd.; ENG;182
Argentina;18; Forward; Martin PALERMO; PALERMO; Martin; PALERMO;07-nov.-73; Boca Juniors; ARG;188
Argentina;19; Forward; Diego MILITO; MILITO; Diego; MILITO D.;12-jun.-79; Inter; ITA;177
Argentina;20; Midfielder; Maxi RODRIGUEZ; RODRIGUEZ; Maximiliano Ruben; RODRIGUEZ M.;02-ene.-81; Liverpool; ENG;173
Argentina;21; Goalkeeper; Mariano ANDUJAR; ANDUJAR; Mariano; ANDUJAR;30-jul.-83; Catania; ITA;180
Argentina;22; Goalkeeper; Sergio ROMERO; ROMERO; Sergio German; ROMERO;22-feb.-87; AZ Alkmaar; NED;191
Argentina;23; Midfielder; Javier PASTORE; PASTORE; Javier; PASTORE;20-jun.-89; Palermo; ITA;173
Australia;1; Goalkeeper; Mark SCHWARZER; SCHWARZER; Mark; SCHWARZER;06-oct.-72; Fulham; ENG;196
Australia;2; Defender; Lucas NEILL; NEILL; Lucas Edward; NEILL;09-mar.-78; Galatasaray; TUR;185
Australia;3; Defender; Craig MOORE; MOORE; Craig Andrew; MOORE;12-dic.-75; No club affiliation; UNK;186
Australia;4; Forward; Tim CAHILL; CAHILL; Timothy Filiga; CAHILL;06-dic.-79; Everton; ENG;180
Australia;5; Midfielder; Jason CULINA; CULINA; Jason; CULINA;05-ago.-80; Gold Coast United; AUS;175
Australia;6; Defender; Michael BEAUCHAMP; BEAUCHAMP; Michael Francis; BEAUCHAMP;08-mar.-81; Al Jazira; UAE;191
Australia;7; Midfielder; Brett EMERTON; EMERTON; Brett Michael; EMERTON;22-feb.-79; Blackburn Rovers; ENG;185
Australia;8; Defender; Luke WILKSHIRE; WILKSHIRE; Luke; WILKSHIRE;02-oct.-81; Dynamo Moscow; RUS;177
Australia;9; Forward; Joshua KENNEDY; KENNEDY; Joshua Blake; KENNEDY;20-ago.-82; Nagoya Grampus Eight; JPN;192
Australia;10; Forward; Harry KEWELL; KEWELL; Harry; KEWELL;22-sep.-78; Galatasaray; TUR;183
Australia;11; Defender; Scott CHIPPERFIELD; CHIPPERFIELD; Scott Kenneth; CHIPPERFIELD;30-dic.-75; Basel; SUI;180
Australia;12; Goalkeeper; Adam FEDERICI; FEDERICI; Adam Jay; FEDERICI;31-ene.-85; Reading; ENG;188
Australia;13; Midfielder; Vince GRELLA; GRELLA; Vincenzo; GRELLA;05-oct.-79; Blackburn Rovers; ENG;183
Australia;14; Forward; Brett HOLMAN; HOLMAN; Brett Trevor; HOLMAN;27-mar.-84; AZ Alkmaar; NED;176
Australia;15; Midfielder; Mile JEDINAK; JEDINAK; Michael John; JEDINAK;03-ago.-84; Antalyaspor; TUR;188
Australia;16; Midfielder; Carl VALERI; VALERI; Carl; VALERI;14-ago.-84; Sassuolo; ITA;180
Australia;17; Forward; Nikita RUKAVYTSYA; RUKAVYTSYA; Nikita; RUKAVYTSYA;22-jun.-87; Twente Enschede; NED;183
Australia;18; Goalkeeper; Brad JONES; JONES; Bradley Scott; JONES;19-mar.-82; Middlesbrough; ENG;193
Australia;19; Forward; Richard GARCIA; GARCIA; Richard; GARCIA;04-sep.-81; Hull City; ENG;180
Australia;20; Defender; Mark MILLIGAN; MILLIGAN; Mark Daniel; MILLIGAN;04-ago.-85; JEF United Ichihara; JPN;178
Australia;21; Defender; David CARNEY; CARNEY; David Raymond; CARNEY;30-nov.-83; Twente Enschede; NED;181
Australia;22; Midfielder; Dario VIDOSIC; VIDOSIC; Dario; VIDOSIC;08-abr.-87; MSV Duisburg; GER;185
Australia;23; Forward; Marco BRESCIANO; BRESCIANO; Mark; BRESCIANO;11-feb.-80; Palermo; ITA;182
Brazil;1; Goalkeeper; JULIO CESAR; SOARES DE ESPINDOLA; Julio Cesar; JULIO CESAR;03-sep.-79; Inter; ITA;186
Brazil;2; Defender; MAICON; SISENANDO; Maicon Douglas; MAICON;26-jul.-81; Inter; ITA;186
Brazil;3; Defender; LUCIO; DA SILVA FERREIRA; Lucimar; LÚCIO;08-may.-78; Inter; ITA;188
Brazil;4; Defender; JUAN; SILVEIRA DOS SANTOS; Juan; JUAN;01-feb.-79; AS Roma; ITA;182
Brazil;5; Midfielder; FELIPE MELO; MELO DE CARVALHO; Felipe; FELIPE MELO;26-jun.-83; Juventus; ITA;183
Brazil;6; Defender; MICHEL BASTOS; FERNANDES BASTOS; Michel M.; BASTOS;02-ago.-83; Lyon; FRA;179
Brazil;7; Midfielder; ELANO; BLUMER; Elano; ELANO;14-jun.-81; Galatasaray; TUR;174
Brazil;8; Midfielder; GILBERTO SILVA; DA SILVA; Gilberto Aparecido; G. SILVA;07-oct.-76; Panathinaikos; GRE;184
Brazil;9; Forward; LUIS FABIANO; CLEMENTE; Luis Fabiano; L. FABIANO;08-nov.-80; Sevilla FC; ESP;186
Brazil;10; Midfielder; KAKA; IZECSON DOS SANTOS LEITE; Ricardo; KAKÁ;22-abr.-82; Real Madrid; ESP;186
Brazil;11; Forward; ROBINHO; DE SOUZA; Robson; ROBINHO;25-ene.-84; Santos; BRA;175
Brazil;12; Goalkeeper; GOMES; DA SILVA GOMES; Heurelho; GOMES;15-feb.-81; Tottenham Hotspur; ENG;191
Brazil;13; Defender; DANI ALVES; ALVES DA SILVA; Daniel D.; ALVES;06-may.-83; Barcelona; ESP;173
Brazil;14; Defender; LUISAO; DA SILVA; Anderson Luis; LUISÃO;13-feb.-81; Benfica; POR;193
Brazil;15; Defender; THIAGO SILVA; DA SILVA; Thiago Emiliano; T. SILVA;22-sep.-84; AC Milan; ITA;183
